Kurs:;45;;49;;52;;46;;51;;49;;43;;44;;46;;49;;51;;43;;41;;44;;45;;46;;48;;49;;51;;41;;52;;43;;42;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;44;;45;;47;;49;;50;;52;;41;;40;;42;;44;;45;;47;;49;;50;;52;;40;;42;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Technisches Rathaus;;;;;;;04:33;04:33;05:23;05:24;04:53;04:53;05:53;05:54;06:23;06:24;06:53;06:53;07:23;07:23;07:53;07:54;08:23;08:23;08:08;08:09;08:37;08:39;08:52;08:51;09:07;09:08;09:22;09:21;09:37;09:39;09:52;09:53;10:07;10:08;09:59;09:59;10:22;10:23;10:14;10:14;10:37;10:38;10:48;10:48;10:58;10:59;11:08;11:08;11:18;11:21;11:28;11:30;11:38;11:41;11:48;11:48;11:58;12:00;12:08;12:09;12:18;12:18;12:28;12:29;12:38;12:39;12:48;12:48;12:58;13:02;13:08;13:08;13:18;13:26;13:28;13:29;13:38;13:39;13:48;13:51;13:58;14:02;14:08;14:09;14:18;14:18;14:28;14:29;14:38;14:37;14:48;14:49;14:58;15:00;15:08;15:11;15:18;15:21;15:28;15:30;15:38;15:39;15:48;15:49;15:58;15:59;16:08;16:10;16:18;16:21;16:28;16:31;16:38;16:38;16:48;16:48;16:58;17:00;17:08;17:09;17:18;17:20;17:28;17:30;17:38;17:39;17:48;17:50;17:58;17:59;18:08;18:11;18:18;18:21;18:28;18:30;18:38;18:38;18:48;18:50;18:58;18:59;19:08;19:09;;;19:22;19:21;19:37;19:38;;;19:52;19:53;20:07;20:08;20:22;20:24;20:37;20:38;20:52;20:56;21:07;21:08;21:22;21:21;21:37;21:37;21:52;21:53;22:07;22:08;21:59;22:01;22:22;22:23;22:37;22:36;22:53;22:53;;;23:23;23:23;;;23:53;23:53;00:23;00:24;;
Altes Messegelände;;;;;;;04:35;04:35;05:25;05:25;04:55;04:55;05:55;05:56;06:25;06:25;06:55;06:55;07:25;07:25;07:55;07:56;08:25;08:25;08:10;08:11;08:39;08:41;08:54;08:52;09:09;09:10;09:24;09:23;09:39;09:41;09:54;09:54;10:09;10:10;10:01;10:01;10:24;10:24;10:16;10:16;10:39;10:39;10:50;10:50;11:00;11:01;11:10;11:10;11:20;11:23;11:30;11:32;11:40;11:43;11:50;11:50;12:00;12:02;12:10;12:11;12:20;12:20;12:30;12:30;12:40;12:41;12:50;12:50;13:00;13:03;13:10;13:10;13:20;13:28;13:30;13:31;13:40;13:41;13:50;13:52;14:00;14:03;14:10;14:11;14:20;14:20;14:30;14:31;14:40;14:39;14:50;14:51;15:00;15:02;15:10;15:12;15:20;15:22;15:30;15:31;15:40;15:40;15:50;15:50;16:00;16:01;16:10;16:11;16:20;16:23;16:30;16:33;16:40;16:39;16:50;16:50;17:00;17:02;17:10;17:11;17:20;17:22;17:30;17:32;17:40;17:41;17:50;17:52;18:00;18:01;18:10;18:14;18:20;18:23;18:30;18:32;18:40;18:40;18:50;18:52;19:00;19:01;19:10;19:11;;;19:24;19:23;19:39;19:39;;;19:54;19:54;20:09;20:10;20:24;20:26;20:39;20:40;20:54;20:58;21:09;21:10;21:24;21:24;21:39;21:38;21:54;21:55;22:09;22:09;22:01;22:03;22:24;22:24;22:39;22:38;22:55;22:55;;;23:25;23:25;;;23:55;23:55;00:25;00:25;;
Naunhofer Straße;;;;;;;04:36;04:35;05:26;05:27;04:56;04:56;05:56;05:57;06:26;06:26;06:56;06:56;07:26;07:26;07:56;07:57;08:26;08:26;08:11;08:12;08:40;08:42;08:55;08:53;09:10;09:11;09:25;09:25;09:40;09:42;09:55;09:56;10:10;10:11;10:02;10:02;10:25;10:26;10:17;10:17;10:40;10:41;10:51;10:52;11:01;11:02;11:11;11:11;11:21;11:24;11:31;11:33;11:41;11:44;11:51;11:51;12:01;12:03;12:11;12:13;12:21;12:21;12:31;12:32;12:41;12:42;12:51;12:51;13:01;13:05;13:11;13:11;13:21;13:29;13:31;13:32;13:41;13:43;13:51;13:53;14:01;14:05;14:11;14:12;14:21;14:22;14:31;14:32;14:41;14:40;14:51;14:52;15:01;15:03;15:11;15:13;15:21;15:24;15:31;15:32;15:41;15:42;15:51;15:51;16:01;16:02;16:11;16:13;16:21;16:24;16:31;16:34;16:41;16:40;16:51;16:51;17:01;17:03;17:11;17:12;17:21;17:23;17:31;17:33;17:41;17:42;17:51;17:53;18:01;18:02;18:11;18:15;18:21;18:24;18:31;18:33;18:41;18:41;18:51;18:53;19:01;19:02;19:11;19:12;;;19:25;19:24;19:40;19:41;;;19:55;19:56;20:10;20:11;20:25;20:27;20:40;20:41;20:55;20:59;21:10;21:11;21:25;21:25;21:40;21:39;21:55;21:56;22:10;22:11;22:02;22:04;22:25;22:25;22:40;22:39;22:56;22:56;;;23:26;23:26;;;23:56;23:56;00:26;00:26;;
Völkerschlachtdenkmal;;;;;;;04:37;04:36;05:27;05:28;04:57;04:58;05:57;05:59;06:27;06:27;06:57;06:58;07:27;07:27;07:57;07:59;08:27;08:27;08:12;08:13;08:41;08:43;08:56;08:55;09:11;09:12;09:26;09:26;09:41;09:43;09:56;09:57;10:11;10:12;10:03;10:03;10:26;10:27;10:18;10:18;10:41;10:43;10:52;10:53;11:02;11:03;11:12;11:12;11:22;11:26;11:32;11:34;11:42;11:46;11:52;11:53;12:02;12:04;12:12;12:14;12:22;12:22;12:32;12:33;12:42;12:43;12:52;12:52;13:02;13:06;13:12;13:12;13:22;13:31;13:32;13:34;13:42;13:44;13:52;13:54;14:02;14:06;14:12;14:13;14:22;14:23;14:32;14:33;14:42;14:41;14:52;14:53;15:02;15:05;15:12;15:15;15:22;15:25;15:32;15:33;15:42;15:43;15:52;15:52;16:02;16:03;16:12;16:14;16:22;16:25;16:32;16:36;16:42;16:41;16:52;16:52;17:02;17:04;17:12;17:14;17:22;17:24;17:32;17:34;17:42;17:43;17:52;17:54;18:02;18:03;18:12;18:17;18:22;18:25;18:32;18:34;18:42;18:43;18:52;18:54;19:02;19:04;19:12;19:14;;;19:26;19:25;19:41;19:42;;;19:56;19:57;20:11;20:12;20:26;20:28;20:41;20:42;20:56;21:01;21:11;21:12;21:26;21:26;21:41;21:40;21:56;21:57;22:11;22:12;22:03;22:05;22:26;22:26;22:41;22:40;22:57;22:57;;;23:27;23:27;;;23:57;23:57;00:27;00:27;;
Südfriedhof;;;;;;;04:38;04:38;05:28;05:30;04:58;04:59;05:58;06:00;06:28;06:29;06:58;06:59;07:28;07:28;07:58;08:00;08:28;08:28;08:13;08:15;08:42;08:45;08:57;08:57;09:12;09:13;09:27;09:28;09:42;09:45;09:57;09:58;10:12;10:13;10:04;10:04;10:27;10:28;10:19;10:19;10:42;10:45;10:54;10:55;11:04;11:04;11:14;11:13;11:24;11:27;11:34;11:35;11:44;11:47;11:54;11:54;12:04;12:06;12:14;12:15;12:24;12:24;12:34;12:35;12:44;12:45;12:54;12:54;13:04;13:07;13:14;13:13;13:24;13:33;13:34;13:35;13:44;13:47;13:54;13:56;14:04;14:07;14:14;14:15;14:24;14:25;14:34;14:35;14:44;14:42;14:54;14:55;15:04;15:06;15:14;15:17;15:24;15:26;15:34;15:34;15:44;15:44;15:54;15:54;16:04;16:05;16:14;16:15;16:24;16:27;16:34;16:37;16:44;16:43;16:54;16:54;17:04;17:06;17:14;17:15;17:24;17:25;17:34;17:35;17:44;17:45;17:54;17:56;18:04;18:04;18:14;18:18;18:24;18:27;18:34;18:36;18:44;18:44;18:54;18:55;19:04;19:05;19:14;19:15;;;19:27;19:27;19:42;19:43;;;19:57;19:58;20:12;20:13;20:27;20:30;20:42;20:43;20:57;21:02;21:12;21:13;21:27;21:28;21:42;21:42;21:57;21:58;22:12;22:13;22:04;22:07;22:27;22:28;22:42;22:42;22:58;22:59;;;23:28;23:28;;;23:58;23:58;00:28;00:29;;
Prager/Russenstraße;;;;;;;04:39;04:39;05:29;05:31;04:59;05:00;05:59;06:02;06:29;06:30;06:59;07:00;07:29;07:29;07:59;08:01;08:29;08:29;08:14;08:16;08:43;08:46;08:58;08:58;09:13;09:14;09:28;09:29;09:43;09:46;09:58;09:59;10:13;10:15;10:05;10:06;10:28;10:29;10:20;10:21;10:43;10:46;10:55;10:56;11:05;11:05;11:15;11:14;11:25;11:28;11:35;11:37;11:45;11:49;11:55;11:55;12:05;12:07;12:15;12:16;12:25;12:25;12:35;12:36;12:45;12:46;12:55;12:55;13:05;13:08;13:15;13:15;13:25;13:34;13:35;13:36;13:45;13:48;13:55;13:57;14:05;14:08;14:15;14:16;14:25;14:26;14:35;14:36;14:45;14:44;14:55;14:56;15:05;15:07;15:15;15:18;15:25;15:27;15:35;15:35;15:45;15:46;15:55;15:55;16:05;16:06;16:15;16:16;16:25;16:28;16:35;16:38;16:45;16:44;16:55;16:55;17:05;17:07;17:15;17:16;17:25;17:26;17:35;17:37;17:45;17:46;17:55;17:57;18:05;18:06;18:15;18:19;18:25;18:28;18:35;18:37;18:45;18:46;18:55;18:56;19:05;19:07;19:15;19:16;;;19:28;19:28;19:43;19:44;;;19:58;19:59;20:13;20:15;20:28;20:31;20:43;20:44;20:58;21:04;21:13;21:14;21:28;21:29;21:43;21:43;21:58;21:59;22:13;22:14;22:05;22:08;22:28;22:29;22:43;22:43;22:59;23:00;;;23:29;23:30;;;23:59;23:59;00:29;00:30;;
Probstheida;;;;;;;04:40;04:40;05:30;05:32;05:00;05:01;06:00;06:03;06:30;06:31;07:00;07:01;07:30;07:30;08:00;08:02;08:30;08:30;08:15;08:17;08:44;08:47;08:59;08:59;09:14;09:15;09:29;09:31;09:44;09:47;09:59;10:00;10:14;10:16;10:06;10:07;10:29;10:30;10:21;10:22;10:44;10:47;10:56;10:58;11:06;11:07;11:16;11:16;11:26;11:29;11:36;11:38;11:46;11:50;11:56;11:56;12:06;12:08;12:16;12:18;12:26;12:26;12:36;12:37;12:46;12:47;12:56;12:56;13:06;13:10;13:16;13:16;13:26;13:35;13:36;13:37;13:46;13:49;13:56;13:58;14:06;14:10;14:16;14:17;14:26;14:27;14:36;14:37;14:46;14:45;14:56;14:57;15:06;15:08;15:16;15:19;15:26;15:28;15:36;15:37;15:46;15:47;15:56;15:56;16:06;16:07;16:16;16:17;16:26;16:29;16:36;16:39;16:46;16:46;16:56;16:56;17:06;17:08;17:16;17:17;17:26;17:28;17:36;17:38;17:46;17:48;17:56;17:58;18:06;18:07;18:16;18:21;18:26;18:29;18:36;18:38;18:46;18:47;18:56;18:58;19:06;19:08;19:16;19:17;;;19:29;19:29;19:44;19:46;;;19:59;20:00;20:14;20:16;20:29;20:32;20:44;20:46;20:59;21:05;21:14;21:16;21:29;21:30;21:44;21:44;21:59;22:00;22:14;22:15;22:06;22:09;22:29;22:30;22:44;22:44;23:00;23:01;;;23:30;23:31;;;00:00;00:00;00:30;00:31;;
Franzosenallee;;;;;;;04:42;04:41;05:32;05:34;05:02;05:02;06:02;06:04;06:32;06:32;07:02;07:03;07:32;07:32;08:02;08:04;08:32;08:32;08:17;08:18;08:46;08:48;09:01;09:00;09:16;09:17;09:31;09:32;09:46;09:48;10:01;10:02;10:16;10:17;10:08;10:08;10:31;10:31;10:23;10:23;10:46;10:48;10:58;10:59;11:08;11:08;11:18;11:17;11:28;11:31;11:38;11:39;11:48;11:51;11:58;11:58;12:08;12:10;12:18;12:19;12:28;12:27;12:38;12:38;12:48;12:48;12:58;12:57;13:08;13:11;13:18;13:17;13:28;13:36;13:38;13:39;13:48;13:50;13:58;13:59;14:08;14:11;14:18;14:19;14:28;14:29;14:38;14:38;14:48;14:46;14:58;14:58;15:08;15:10;15:18;15:20;15:28;15:30;15:38;15:38;15:48;15:48;15:58;15:57;16:08;16:08;16:18;16:19;16:28;16:30;16:38;16:40;16:48;16:47;16:58;16:57;17:08;17:09;17:18;17:19;17:28;17:29;17:38;17:39;17:48;17:49;17:58;17:59;18:08;18:08;18:18;18:22;18:28;18:30;18:38;18:39;18:48;18:48;18:58;18:59;19:08;19:09;19:18;19:19;;;19:31;19:30;19:46;19:47;;;20:01;20:02;20:16;20:17;20:31;20:33;20:46;20:47;21:01;21:06;21:16;21:17;21:31;21:31;21:46;21:46;22:01;22:02;22:16;22:17;22:08;22:10;22:31;22:31;22:46;22:45;23:02;23:03;;;23:32;23:32;;;00:02;00:01;00:32;00:32;;
Roseggerstraße;;;;;;;04:43;04:42;05:33;05:35;05:03;05:03;06:03;06:05;06:33;06:33;07:03;07:03;07:33;07:33;08:03;08:05;08:33;08:32;08:18;08:19;08:47;08:49;09:02;09:01;09:17;09:17;09:32;09:33;09:47;09:49;10:02;10:02;10:17;10:18;10:09;10:09;10:32;10:32;10:24;10:24;10:47;10:49;10:59;11:00;11:09;11:09;11:19;11:18;11:29;11:32;11:39;11:40;11:49;11:52;11:59;11:59;12:09;12:11;12:19;12:20;12:29;12:28;12:39;12:39;12:49;12:49;12:59;12:58;13:09;13:12;13:19;13:18;13:29;13:37;13:39;13:39;13:49;13:51;13:59;14:00;14:09;14:12;14:19;14:19;14:29;14:30;14:39;14:39;14:49;14:47;14:59;14:59;15:09;15:11;15:19;15:21;15:29;15:31;15:39;15:39;15:49;15:49;15:59;15:58;16:09;16:09;16:19;16:20;16:29;16:31;16:39;16:41;16:49;16:48;16:59;16:58;17:09;17:11;17:19;17:20;17:29;17:30;17:39;17:40;17:49;17:50;17:59;18:00;18:09;18:09;18:19;18:23;18:29;18:31;18:39;18:40;18:49;18:49;18:59;19:00;19:09;19:10;19:19;19:20;;;19:32;19:31;19:47;19:48;;;20:02;20:02;20:17;20:18;20:32;20:34;20:47;20:48;21:02;21:07;21:17;21:18;21:32;21:32;21:47;21:46;22:02;22:03;22:17;22:17;22:09;22:11;22:32;22:32;22:47;22:46;23:03;23:04;;;23:33;23:33;;;00:03;00:02;00:33;00:33;;
Meusdorf;;;;;;;04:44;04:43;05:34;05:36;05:04;05:04;06:04;06:06;06:34;06:34;07:04;07:05;07:34;07:34;08:04;08:06;08:34;08:33;08:19;08:20;08:48;08:50;09:03;09:02;09:18;09:18;09:33;09:34;09:48;09:50;10:03;10:03;10:18;10:19;10:10;10:10;10:33;10:33;10:25;10:25;10:48;10:50;11:00;11:01;11:10;11:10;11:20;11:19;11:30;11:32;11:40;11:41;11:50;11:53;12:00;12:00;12:10;12:12;12:20;12:21;12:30;12:29;12:40;12:40;12:50;12:50;13:00;12:59;13:10;13:13;13:20;13:19;13:30;13:38;13:40;13:40;13:50;13:52;14:00;14:01;14:10;14:13;14:20;14:20;14:30;14:31;14:40;14:40;14:50;14:48;15:00;15:00;15:10;15:12;15:20;15:22;15:30;15:32;15:40;15:39;15:50;15:50;16:00;15:59;16:10;16:10;16:20;16:21;16:30;16:32;16:40;16:42;16:50;16:49;17:00;16:59;17:10;17:12;17:20;17:21;17:30;17:31;17:40;17:41;17:50;17:51;18:00;18:01;18:10;18:10;18:20;18:24;18:30;18:32;18:40;18:41;18:50;18:50;19:00;19:01;19:10;19:11;19:20;19:21;;;19:33;19:32;19:48;19:49;;;20:03;20:03;20:18;20:19;20:33;20:35;20:48;20:49;21:03;21:08;21:18;21:19;21:33;21:34;21:48;21:47;22:03;22:04;22:18;22:19;22:10;22:12;22:33;22:33;22:48;22:47;23:04;23:05;;;23:34;23:34;;;00:04;00:03;00:34;00:34;;
