Kurs:;36;;84;;72;;83;;34;;91;;92;;31;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;92;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Engelsdorf, Gymnasium;00:27;00:27;05:27;05:27;06:27;06:26;07:27;07:27;08:27;08:27;09:27;09:27;09:50;09:50;10:20;10:50;10:49;11:20;11:19;11:50;11:49;12:20;12:20;12:50;12:50;13:20;13:21;13:50;13:50;14:20;14:20;14:50;14:51;15:20;15:20;15:50;15:49;16:20;16:19;16:50;16:50;17:20;17:18;17:50;17:54;18:20;18:21;18:50;18:51;19:20;19:20;19:50;19:50;20:20;20:19;20:50;20:50;21:19;21:19;21:49;21:52;22:19;22:18;22:49;22:48;23:27;23:28
Engelsdorf, Kirche;00:28;00:28;05:28;05:28;06:28;06:27;07:28;07:28;08:28;08:28;09:28;09:28;09:51;09:51;10:21;10:51;10:50;11:21;11:20;11:51;11:51;12:21;12:21;12:51;12:51;13:21;13:22;13:51;13:51;14:21;14:20;14:51;14:52;15:21;15:21;15:51;15:50;16:21;16:20;16:51;16:51;17:21;17:19;17:51;17:55;18:21;18:22;18:51;18:52;19:21;19:21;19:51;19:50;20:21;20:20;20:51;20:51;21:20;21:19;21:50;21:53;22:20;22:19;22:50;22:49;23:28;23:29
Engelsdorf, Kirchweg;00:28;00:28;05:28;05:29;06:28;06:28;07:28;07:29;08:28;08:28;09:28;09:29;09:52;09:52;10:22;10:52;10:51;11:22;11:21;11:52;11:51;12:22;12:21;12:52;12:51;13:22;13:23;13:52;13:52;14:22;14:21;14:52;14:52;15:22;15:22;15:52;15:51;16:22;16:21;16:52;16:52;17:22;17:20;17:52;17:56;18:22;18:23;18:52;18:53;19:22;19:21;19:52;19:51;20:22;20:21;20:52;20:52;21:20;21:20;21:50;21:54;22:20;22:19;22:50;22:50;23:28;23:30
Klempererstraße;00:29;00:30;05:29;05:30;06:29;06:28;07:29;07:30;08:29;08:29;09:29;09:29;09:53;09:53;10:23;10:53;10:52;11:23;11:23;11:53;11:53;12:23;12:22;12:53;12:52;13:23;13:23;13:53;13:52;14:23;14:22;14:53;14:53;15:23;15:23;15:53;15:52;16:23;16:22;16:53;16:52;17:23;17:22;17:53;17:57;18:23;18:24;18:53;18:54;19:23;19:22;19:53;19:52;20:23;20:22;20:53;20:53;21:21;21:21;21:51;21:55;22:21;22:20;22:51;22:51;23:29;23:30
Hugo-Aurig-Straße;00:30;00:31;05:30;05:31;06:30;06:29;07:30;07:31;08:30;08:31;09:30;09:30;09:54;09:54;10:24;10:54;10:53;11:24;11:24;11:54;11:54;12:24;12:24;12:54;12:53;13:24;13:25;13:54;13:53;14:24;14:23;14:54;14:55;15:24;15:24;15:54;15:53;16:24;16:24;16:54;16:54;17:24;17:23;17:54;17:58;18:24;18:25;18:54;18:55;19:24;19:23;19:54;19:53;20:24;20:23;20:54;20:54;21:22;21:22;21:52;21:56;22:22;22:21;22:52;22:52;23:30;23:31
Hans-Weigel-Straße;00:31;00:32;05:31;05:32;06:31;06:30;07:31;07:32;08:31;08:32;09:31;09:31;09:55;09:55;10:25;10:55;10:54;11:25;11:25;11:55;11:55;12:25;12:24;12:55;12:54;13:25;13:25;13:55;13:55;14:25;14:25;14:55;14:55;15:25;15:25;15:55;15:54;16:25;16:25;16:55;16:55;17:25;17:24;17:55;17:58;18:25;18:26;18:55;18:56;19:25;19:24;19:55;19:55;20:25;20:24;20:55;20:56;21:23;21:23;21:53;21:57;22:23;22:22;22:53;22:53;23:31;23:33
Sommerfeld;00:33;00:33;05:33;05:34;06:33;06:33;07:33;07:33;08:33;08:35;09:33;09:34;09:57;09:56;10:27;10:57;10:57;11:27;11:27;11:57;11:57;12:27;12:25;12:57;12:56;13:27;13:28;13:57;13:57;14:27;14:27;14:57;14:57;15:27;15:27;15:57;15:56;16:27;16:26;16:57;16:56;17:27;17:26;17:57;17:59;18:27;18:27;18:57;18:59;19:27;19:26;19:57;19:58;20:27;20:27;20:57;20:58;21:25;21:25;21:55;21:58;22:25;22:24;22:55;22:54;23:33;23:34
Schongauerstraße;00:34;00:34;05:34;05:35;06:34;06:34;07:34;07:34;08:34;08:36;09:34;09:35;09:58;09:57;10:28;10:58;10:58;11:28;11:28;11:58;11:58;12:28;12:26;12:58;12:57;13:28;13:28;13:58;13:58;14:28;14:28;14:58;14:58;15:28;15:28;15:58;15:57;16:28;16:26;16:58;16:58;17:28;17:28;17:58;18:00;18:28;18:29;18:58;19:00;19:28;19:27;19:58;19:58;20:28;20:28;20:58;20:59;21:26;21:26;21:56;21:59;22:26;22:24;22:56;22:55;23:34;23:35
Güterbahnhofstraße;00:35;00:34;05:35;05:35;06:35;06:34;07:35;07:35;08:35;08:36;09:35;09:35;09:59;09:58;10:29;10:59;10:59;11:29;11:28;11:59;11:59;12:29;12:27;12:59;12:58;13:29;13:29;13:59;13:59;14:29;14:28;14:59;14:58;15:29;15:29;15:59;15:58;16:29;16:27;16:59;16:58;17:29;17:28;17:59;18:01;18:29;18:29;18:59;19:01;19:29;19:28;19:59;19:59;20:29;20:29;20:59;20:59;21:27;21:26;21:57;21:59;22:27;22:24;22:57;22:56;23:35;23:35
Paunsdorf, Buswendest.;00:36;00:35;05:36;05:36;06:36;06:36;07:36;07:36;08:36;08:37;09:36;09:36;10:00;09:59;10:30;11:00;11:00;11:30;11:29;12:00;12:00;12:30;12:28;13:00;12:58;13:30;13:30;14:00;14:00;14:30;14:29;15:00;14:59;15:30;15:30;16:00;15:59;16:30;16:28;17:00;16:59;17:30;17:29;18:00;18:02;18:30;18:30;19:00;19:02;19:30;19:29;20:00;20:00;20:30;20:30;21:00;21:00;21:28;21:27;21:58;22:00;22:28;22:25;22:58;22:57;23:36;23:36
