Kurs:;81;;31;;31;;31;;38;;34;;33;;91;;31;;35;;33;;91;;32;;35;;33;;31;;32;;35;;91;;31;;32;;33;;91;;31;;35;;33;;91;;32;;35;;33;;31;;32;;35;;91;;31;;37;;38;;93;;36;;33;;31;;37;;75;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Baalsdorfer Straße;00:55;00:56;05:55;05:54;06:55;06:54;07:55;08:08;09:02;09:03;09:32;09:31;10:02;10:01;10:32;10:34;10:54;10:56;11:14;11:13;11:34;11:34;11:54;11:56;12:14;12:21;12:34;12:34;12:54;12:55;13:14;13:14;13:34;13:34;13:54;13:53;14:14;14:16;14:34;14:35;14:54;14:59;15:14;15:15;15:34;15:36;15:54;15:55;16:14;16:18;16:34;16:35;16:54;16:57;17:14;17:17;17:34;17:34;17:54;17:55;18:14;18:16;18:34;18:35;18:54;18:54;19:14;19:15;19:34;19:34;20:02;20:03;20:32;20:32;21:02;21:02;21:32;21:32;22:02;22:01;22:32;22:31;23:02;23:07;23:55;23:55
Baalsdorf, Kirchweg;00:56;00:57;05:56;05:55;06:56;06:55;07:56;08:09;09:03;09:03;09:33;09:32;10:03;10:02;10:33;10:35;10:55;10:58;11:15;11:14;11:35;11:35;11:55;11:57;12:15;12:22;12:35;12:35;12:55;12:56;13:15;13:15;13:35;13:35;13:55;13:55;14:15;14:17;14:35;14:36;14:55;15:01;15:15;15:16;15:35;15:37;15:55;15:57;16:15;16:19;16:35;16:36;16:55;16:58;17:15;17:18;17:35;17:35;17:55;17:57;18:15;18:17;18:35;18:36;18:55;18:56;19:15;19:16;19:35;19:35;20:03;20:04;20:33;20:33;21:03;21:03;21:33;21:33;22:03;22:02;22:33;22:32;23:03;23:08;23:56;23:55
Zaucheweg;;;;;;;;;;;;;;;;;10:57;10:59;;;;;11:57;11:58;;;;;12:57;12:58;;;;;13:57;13:56;;;;;14:57;15:02;;;;;15:57;15:58;;;;;16:57;17:00;;;;;17:57;17:58;;;;;18:57;18:57;;;;;;;;;;;;;;;;;;;;
Kleinpösna;;;;;;;;;;;;;;;;;11:00;11:03;;;;;12:00;12:01;;;;;13:00;13:01;;;;;14:00;13:59;;;;;15:00;15:06;;;;;16:00;16:01;;;;;17:00;17:03;;;;;18:00;18:01;;;;;19:00;19:02;;;;;;;;;;;;;;;;;;;;
Hirschfeld;;;;;;;;;;;;;;;;;11:03;11:05;;;;;12:03;12:03;;;;;13:03;13:03;;;;;14:03;14:01;;;;;15:03;15:07;;;;;16:03;16:03;;;;;17:03;17:05;;;;;18:03;18:04;;;;;19:03;19:04;;;;;;;;;;;;;;;;;;;;
Althen, Freundschaftsr.;;;;;;;;;;;;;;;;;11:06;11:09;;;;;12:06;12:07;;;;;13:06;13:06;;;;;14:06;14:05;;;;;15:06;15:10;;;;;16:06;16:05;;;;;17:06;17:08;;;;;18:06;18:08;;;;;19:06;19:07;;;;;;;;;;;;;;;;;;;;
Althener Anger;;;;;;;;;;;;;;;;;11:07;11:10;;;;;12:07;12:07;;;;;13:07;13:07;;;;;14:07;14:05;;;;;15:07;15:11;;;;;16:07;16:06;;;;;17:07;17:09;;;;;18:07;18:09;;;;;19:07;19:08;;;;;;;;;;;;;;;;;;;;
Althen, Oertgering;;;;;;;;;;;;;;;;;11:09;11:11;;;;;12:09;12:09;;;;;13:09;13:09;;;;;14:09;14:07;;;;;15:09;15:13;;;;;16:09;16:08;;;;;17:09;17:11;;;;;18:09;18:10;;;;;19:09;19:10;;;;;;;;;;;;;;;;;;;;
Abzw. Dreiecksiedlung;;;;;;;;;;;;;;;;;11:11;11:14;;;;;12:11;12:12;;;;;13:11;13:12;;;;;14:11;14:10;;;;;15:11;15:15;;;;;16:11;16:11;;;;;17:11;17:14;;;;;18:11;18:13;;;;;19:11;19:12;;;;;;;;;;;;;;;;;;;;
Sabinenstraße;;;;;;;;;;;;;;;;;11:13;11:16;;;;;12:13;12:13;;;;;13:13;13:13;;;;;14:13;14:12;;;;;15:13;15:17;;;;;16:13;16:13;;;;;17:13;17:16;;;;;18:13;18:15;;;;;19:13;19:13;;;;;;;;;;;;;;;;;;;;
Sternenstraße;;;;;;;;;;;;;;;;;11:14;11:17;;;;;12:14;12:14;;;;;13:14;13:14;;;;;14:14;14:12;;;;;15:14;15:18;;;;;16:14;16:13;;;;;17:14;17:16;;;;;18:14;18:15;;;;;19:14;19:14;;;;;;;;;;;;;;;;;;;;
Sommerfeld;;;;;;;;;;;;;;;;;11:16;11:20;;;;;12:16;12:17;;;;;13:16;13:16;;;;;14:16;14:15;;;;;15:16;15:21;;;;;16:16;16:17;;;;;17:16;17:18;;;;;18:16;18:17;;;;;19:16;19:15;;;;;;;;;;;;;;;;;;;;
Sommerfeld;;;;;;;;;;;;;;;;;11:17;11:21;;;;;12:17;12:18;;;;;13:17;13:16;;;;;14:17;14:15;;;;;15:17;15:21;;;;;16:17;16:18;;;;;17:17;17:19;;;;;18:17;18:18;;;;;19:17;19:15;;;;;;;;;;;;;;;;;;;;
